City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Descp
167,Wattegama,LK,6.8,81.48,77.36,75,26,4.99,scattered clouds
168,Kapaa,US,22.08,-159.32,73.4,88,20,2.95,few clouds
169,Corat,AZ,40.57,49.71,62.6,72,40,6.93,scattered clouds
170,Lompoc,US,34.64,-120.46,60.8,87,90,5.46,overcast clouds
171,Fortuna,US,40.6,-124.16,55.0,71,1,8.05,clear sky
172,Pangkalanbuun,ID,-2.68,111.62,75.07,95,32,1.36,scattered clouds
173,Yar-Sale,RU,66.83,70.83,18.73,97,98,9.95,overcast clouds
174,Saldanha,ZA,-33.01,17.94,64.4,68,25,10.29,scattered clouds
175,Sorong,ID,-0.88,131.25,78.66,87,20,5.68,few clouds
176,Mayo,US,38.89,-76.51,81.0,94,1,6.93,clear sky
177,Necochea,AR,-38.55,-58.74,55.0,96,99,4.0,overcast clouds
178,Saint-Augustin,CA,51.23,-58.65,49.1,63,94,19.75,overcast clouds
179,Gat,IL,31.61,34.76,79.0,61,0,2.24,clear sky
180,Margate,GB,51.38,1.39,57.0,77,2,1.99,clear sky
181,San Quintin,MX,30.48,-115.95,67.82,69,100,4.76,overcast clouds
182,Bambous Virieux,MU,-20.34,57.76,75.2,73,40,9.17,scattered clouds
183,Tuktoyaktuk,CA,69.45,-133.04,21.2,92,90,14.99,light snow
184,Kiknur,RU,57.3,47.2,29.34,94,89,3.42,overcast clouds
185,Tutoia,BR,-2.76,-42.27,85.24,69,23,15.77,few clouds
186,Sao Felix Do Xingu,BR,-6.64,-51.99,97.97,32,71,6.15,heavy intensity rain
187,Kabo,CF,7.7,18.63,73.94,91,97,3.62,overcast clouds
188,Jamame,SO,0.07,42.75,79.18,82,27,10.11,scattered clouds
189,Harper,LR,4.38,-7.72,79.16,84,67,6.67,broken clouds
190,Bumba,CD,2.18,22.47,72.19,95,100,1.57,overcast clouds
191,Port Alfred,ZA,-33.59,26.89,67.89,88,0,14.58,clear sky
192,Great Falls,US,47.5,-111.3,18.0,78,90,6.93,overcast clouds
193,Te Anau,NZ,-45.42,167.72,43.97,83,100,2.66,light rain
194,Saint-Georges,GD,12.06,-61.75,87.8,70,40,23.04,scattered clouds
195,Atasu,KZ,48.68,71.64,38.5,70,100,11.07,overcast clouds
196,Nara,JP,34.69,135.8,64.99,98,100,4.7,light rain
197,Nyurba,RU,63.28,118.33,19.72,96,83,6.8,broken clouds
198,Vestmannaeyjar,IS,63.44,-20.27,42.8,87,75,47.2,moderate rain
