City_ID,City,Country,Max Temp,Weather Descp,Lat,Lng,Hotel Name
166,Hithadhoo,MV,83.34,clear sky,-0.6,73.08,Scoop Guest House
168,Kapaa,US,73.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
169,Corat,AZ,62.6,scattered clouds,40.57,49.71,Regnum Hotel Baku
170,Lompoc,US,60.8,overcast clouds,34.64,-120.46,Holiday Inn Express Lompoc
171,Fortuna,US,55.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
172,Pangkalanbuun,ID,75.07,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
174,Saldanha,ZA,64.4,scattered clouds,-33.01,17.94,Blue Bay Lodge
175,Sorong,ID,78.66,few clouds,-0.88,131.25,The Waigo Hotel
176,Mayo,US,81.0,clear sky,38.89,-76.51,Resorts Resource Group International
177,Necochea,AR,55.0,overcast clouds,-38.55,-58.74,dyd -mar Hotel
179,Gat,IL,79.0,clear sky,31.61,34.76,OlusHome
180,Margate,GB,57.0,clear sky,51.38,1.39,Premier Inn Margate hotel
181,San Quintin,MX,67.82,overcast clouds,30.48,-115.95,Old Mill Hotel
182,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
185,Tutoia,BR,85.24,few clouds,-2.76,-42.27,Pousada Guará's
189,Harper,LR,79.16,broken clouds,4.38,-7.72,Screensaver
190,Bumba,CD,72.19,overcast clouds,2.18,22.47,Hôtel Cape Town
191,Port Alfred,ZA,67.89,clear sky,-33.59,26.89,The Halyards Hotel
193,Te Anau,NZ,43.97,light rain,-45.42,167.72,Kingsgate Hotel Te Anau
194,Saint-Georges,GD,87.8,scattered clouds,12.06,-61.75,Siesta Hotel
196,Nara,JP,64.99,light rain,34.69,135.8,Guesthouse Nara Komachi
198,Vestmannaeyjar,IS,42.8,moderate rain,63.44,-20.27,Glamping & Camping
199,Mangrol,IN,82.6,broken clouds,21.12,70.12,Hotel The Royal Honours
200,Auki,SB,77.74,moderate rain,-8.77,160.7,Auki Motel
202,Hobart,AU,51.8,overcast clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
203,Basco,PH,81.0,overcast clouds,20.45,121.97,Nathaniel's Lodge
205,Hambantota,LK,79.88,broken clouds,6.12,81.12,Bungalow 63
206,Pundaguitan,PH,83.17,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
207,Kavaratti,IN,80.85,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
208,Kodiak,US,46.4,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
209,Stephenville,US,82.0,broken clouds,32.22,-98.2,La Quinta Inn & Suites by Wyndham Stephenville
210,Salina,US,78.8,broken clouds,38.84,-97.61,Holiday Inn Express & Suites Salina
211,Phan Thiet,VN,75.78,overcast clouds,10.93,108.1,Hotel Saigon-PT
213,Buenavista,PH,77.85,overcast clouds,8.98,125.41,Brett Swimming Pool Club
215,Saumur,FR,62.6,broken clouds,47.33,-0.25,Hôtel la Longue Vue
216,Itaguai,BR,78.8,scattered clouds,-22.85,-43.78,It Grande Hotel Itaguai
217,Rocha,UY,59.22,overcast clouds,-34.48,-54.33,Beleza Pura B&B
218,Rio Gallegos,AR,60.8,scattered clouds,-51.62,-69.22,Hotel Santa Cruz
220,Iguape,BR,76.84,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
222,Wencheng,CN,55.98,clear sky,33.06,113.8,Ruyi Hostel
224,Bubaque,GW,83.37,light rain,11.28,-15.83,"Casa Dora, Bubaque"
225,Lata,PT,62.01,clear sky,40.16,-8.33,Casa Maquia
226,Crewe,GB,50.0,broken clouds,53.1,-2.44,Crewe Hall
228,Saky,UA,60.75,clear sky,45.14,33.6,Chayka
229,Airai,TL,61.21,broken clouds,-8.93,125.41,Juvinal Martin
230,Ponta Do Sol,PT,69.8,scattered clouds,32.67,-17.1,Hotel do Campo
231,Praia Da Vitoria,PT,68.0,few clouds,38.73,-27.07,Hotel Branco I
232,Esperance,AU,55.4,broken clouds,-33.87,121.9,Hospitality Esperance
233,Murliganj,IN,75.96,scattered clouds,25.9,86.98,Maa Parvati readymade vastralaya
234,Piney Green,US,82.0,scattered clouds,34.72,-77.32,Holiday City Mobile Home Park
237,Port Shepstone,ZA,69.37,scattered clouds,-30.74,30.45,My Den Beachfront B&B And Self-Catering
238,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
242,Okato,NZ,50.0,clear sky,-39.2,173.88,Goodin Country Garden
243,Lebu,CL,54.48,clear sky,-37.62,-73.65,Hostal Las Lilas
244,Mont-Joli,CA,46.4,broken clouds,48.58,-68.19,Mon Joli Motel
245,Maloy,NO,44.6,few clouds,61.94,5.11,Torget Hotell
246,Asau,RO,55.0,clear sky,46.43,26.4,Casa Mika Ciobanus
247,Bell Ville,AR,64.99,moderate rain,-32.63,-62.69,Hotel Central
248,Vanimo,PG,76.41,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
251,Tabou,CI,78.96,scattered clouds,4.42,-7.35,hotêl doufoulougou
252,Timizart,DZ,70.7,broken clouds,36.8,4.27,yefssah restaurant
253,Batemans Bay,AU,60.01,broken clouds,-35.72,150.18,Batemans Bay Marina Resort
254,Hualmay,PE,70.41,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
255,Altay,CN,42.53,few clouds,47.87,88.12,Jinqiao Hotel
260,Ocampo,MX,70.7,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
262,Cam Ranh,VN,82.4,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
263,Mount Isa,AU,73.4,overcast clouds,-20.73,139.5,ibis Styles Mt Isa Verona
265,Cambridge,CA,52.0,overcast clouds,43.36,-80.31,Cambridge Gateway Suites
268,Never,FR,59.0,overcast clouds,46.99,3.16,Hôtel Kyriad
269,Punta Alta,AR,66.63,broken clouds,-38.88,-62.07,Center Hotel Punta Alta
